"Date2"	"Ammonia"	"BOD"	"DO"	"Temperature"	"Precipitation"	"count"
"1"	2019-10-03	7.14125	NA	9.1825	18.125	0	8
"2"	2019-10-05	3.71166666666667	NA	NA	16.7166666666667	0	6
"3"	2019-10-20	17.10375	46.55	3.164	16.09375	0	16
"4"	2019-11-03	2.45	45.1	11.94	13.4	0	5
"5"	2019-11-08	19.67	89.3	0.826	13.8636363636364	0	11
"6"	2019-12-09	32.0225	96.2	1.189	11.7	0.45	16
"7"	2020-01-09	NA	31.6	1.674	10.2909090909091	0	11
"8"	2020-01-10	NA	65.2	6.412	9.22	0	5
"9"	2020-01-17	12.460625	28.6	30.68	8.6	0.2	16
